GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age,distance_to_litpop_km,litpop_asset_value,litpop_value_50km
P100000120149,Hebei Tianzhu Iron and Steel Group Co Ltd Fengrun Plant,Hebei Tianzhu IRON&STEEL (GROUP) Co Ltd,China,Asia Pacific,39.803524,118.205663,,19.5,1.33806594459268,4568324809.945682,205662243350.9365
P100000120115,Hebei Wenfeng Iron and Steel Co Ltd,Hebei Wenfeng STEEL&IRON Co Ltd,China,Asia Pacific,36.64577,114.124258,,20.0,2.3104674207163067,1570133414.6514165,168302488557.8515
P100000120136,Hebei Xin Wuan Steel Group Hongrong Iron and Steel Co Ltd,Hebei New Wuan Lron and Steel Group Hong Rong Lron and Steel Co Ltd,China,Asia Pacific,36.640411,113.981172,1350.0,42.0,2.662640121194022,188809636.46592227,115514440184.77707
P100000120133,Hebei Xin Wuan Steel Group Wenan Iron and Steel Co Ltd,Hebei New Wuan Steel Group Wenan IRON&STEEL Co Ltd,China,Asia Pacific,36.679431,114.169024,,23.0,4.755245041342393,6917400988.421546,191887356628.37024
P100000120142,Hebei Xinda Iron and Steel Group Co Ltd,Hebei Xinda Iron and Steel Co Ltd,China,Asia Pacific,39.898362,118.579364,5000.0,24.0,4.134416700732589,796505445.106471,179466967911.97195
P100000120138,Hebei Xinghua Iron and Steel Co Ltd,Hebei Xinghua Iron and Steel Co Ltd,China,Asia Pacific,36.744936,114.111602,,23.0,4.241572867639042,2791499561.2492723,187803543578.32645
P100000120137,Hebei Xinjin Iron and Steel Co Ltd,Hebei Xinjin Iron and Steel Co Ltd,China,Asia Pacific,36.715632,114.208992,2700.0,33.0,0.8136961216084111,6917400988.421546,208899561340.64273
P100000120130,Hebei Xinwuan Iron and Steel Group Xinhui Metallurgy Co Ltd,Hebei New Wuan Iron and Steel Group Xin Hui Metallurgy Co Ltd,China,Asia Pacific,36.664097,114.115263,1575.0,26.0,4.433333265411366,1570133414.6514165,165400174991.58643
P100000120099,Hebei Xinxing Ductile Iron Pipes Co Ltd,Hebei Xinxing Ductile Iron Pipes Co Ltd,China,Asia Pacific,36.621504,114.128189,2500.0,33.0,0.4817783921027864,1570133414.6514165,167093741671.57178
P100000120111,Hebei Yanshan Iron and Steel Group Co Ltd,Hebei Yanshan Iron and Steel Group Co Ltd,China,Asia Pacific,39.925508,118.672757,9990.0,24.0,4.74568458851105,4245679723.9297485,94003251535.55492
P100000120131,Hebei Yongyang Special Steel Group Co Ltd,Hebei YongYang Special Steel Group Co Ltd,China,Asia Pacific,36.786851,114.376132,1610.0,33.0,0.5448837276539245,364664534.1041899,231127348101.5271
P100000120401,Hebei Zhangxuan High Tech Co Ltd,Hbzx HIGH Tech Co Ltd,China,Asia Pacific,40.607977,115.067516,1800.0,3.0,2.8884967473936123,11073664760.627905,57338704830.849655
P100000120311,Hebei Zongheng Group Fengnan Iron and Steel Co Ltd,Hebei Zongheng Group Fengnan Iron & Steel Co Ltd,China,Asia Pacific,39.222566,118.094201,7700.0,7.0,3.0894917502390413,452880777.8970651,273957223668.95923
P100000120157,Heilongjiang Jianlong Iron and Steel Co Ltd,Heilongjiang Jianlong Iron and Steel Co Ltd,China,Asia Pacific,46.602297,131.071877,2001.0,23.0,3.420157828448072,125175844.19061546,6651539956.068401
