GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age
P100000121143,Baotou Da'an Iron and Steel Co Ltd Kundulun District,Baotou DA AN IRON&STEEL Co Ltd,China,Asia Pacific,40.715119,109.821653,,
P100000120186,Baotou Daan Iron and Steel Co Ltd Hondlon District,Baotou DA AN IRON&STEEL Co Ltd,China,Asia Pacific,40.662343,109.698333,,22.81
P100000121142,Baotou Deshun Special Steel Co Ltd,Baotou Deshun Spec. Steel Co Ltd,China,Asia Pacific,40.9019,110.336253,,18.9
P100000120172,Baowu Group Echeng Iron and Steel Co Ltd,Baowu Group Echeng Iron & Steel Co Ltd,China,Asia Pacific,30.39574,114.861313,4971.0,68.0
P100000121040,BAP Al-Khair steel plant,Public Investment Fund (Saudi Arabia); Baoshan Iron & Steel Co Ltd; Saudi Arabian Oil Co,Saudi Arabia,Middle East,27.502597,49.180369,,0.0
P100000120019,Bashundhara Steel Mirsarai plant,Bashundhara Multi Steel Industries Ltd,Bangladesh,Asia Pacific,22.719278,91.470382,,0.0
P100000120223,Bengang Steel Plates Co Ltd,Bengang Steel Plates Co Ltd,China,Asia Pacific,41.274132,123.722099,12400.0,28.65
P100000120435,Benteler Steel Tube Lingen plant,Benteler Steel/Tube GmbH,Germany,Europe,52.467622,7.317169,650.0,52.0
P100000120224,Benxi Beiying Iron and Steel Group Co Ltd Beitai Town,Benxi Beiying Iron & Steel (GROUP) Co Ltd,China,Asia Pacific,41.224814,123.608374,2600.0,23.88
P100000121253,BER-PIG Iron and Steel Company Redcliff plant,Berhard Development Corporation (Private) Ltd,Zimbabwe,Africa,-19.055102,29.782424,,1.55
P100001062088,Bhagyalaxmi Metals Mul steel plant,Bhagyalaxmi Metals Pvt Ltd,India,Asia Pacific,20.088919,79.71792,,
P100000120002,BILDCO Abu Dhabi steel plant,Abu Dhabi National for Building Materials Co PJSC,United Arab Emirates,Middle East,24.37872,54.475153,1000.0,
P100000120471,Blastr Inkoo steel plant,Blastr Green Steel AS,Finland,Europe,60.0175,23.9126,,0.0
P100000120761,BlueScope New Zealand Steel Glenbrook,New Zealand Steel Ltd,New Zealand,Asia Pacific,-37.206878,174.728098,650.0,57.0
P100000120937,BlueScope North Star Steel plant,North Star BlueScope Steel Ltd,United States,North America,41.568783,-84.048129,3034.0,30.0
P100000120012,BlueScope Port Kembla steel plant,BlueScope Steel Ltd,Australia,Asia Pacific,-34.463834,150.886191,3200.0,98.0
P100000120995,BlueScope Steel EAF plant,BlueScope Steel Ltd,United States,North America,39.815712,-101.275181,,
P100000120512,BMM Ispat Danapur steel plant,BMM Ispat Ltd,India,Asia Pacific,15.16972,76.37971,2208.0,20.0
